-----------------------------------------------------------
Server listening on 7302
-----------------------------------------------------------
Accepted connection from 10.33.33.7, port 50870
[  5] local 10.33.33.36 port 7302 connected to 10.33.33.7 port 7302
[ ID] Interval           Transfer     Bitrate         Retr  Cwnd
[  5]   0.00-1.00   sec  22.5 MBytes   189 Mbits/sec    0   1.16 MBytes       
[  5]   1.00-2.00   sec  45.0 MBytes   378 Mbits/sec  204   22.7 MBytes       
[  5]   2.00-3.00   sec  71.2 MBytes   598 Mbits/sec  260   13.0 MBytes       
[  5]   3.00-4.00   sec  65.0 MBytes   545 Mbits/sec    0   13.7 MBytes       
[  5]   4.00-5.00   sec  68.8 MBytes   577 Mbits/sec    0   14.3 MBytes       
[  5]   5.00-6.00   sec  72.5 MBytes   608 Mbits/sec    0   14.8 MBytes       
[  5]   6.00-7.00   sec  73.8 MBytes   619 Mbits/sec    0   15.1 MBytes       
[  5]   7.00-8.00   sec  75.0 MBytes   629 Mbits/sec    0   15.3 MBytes       
[  5]   8.00-9.00   sec  76.2 MBytes   640 Mbits/sec    0   15.5 MBytes       
[  5]   9.00-10.00  sec  77.5 MBytes   650 Mbits/sec    0   15.5 MBytes       
[  5]  10.00-11.00  sec  77.5 MBytes   650 Mbits/sec    0   15.6 MBytes       
[  5]  11.00-12.00  sec  77.5 MBytes   650 Mbits/sec    0   15.6 MBytes       
[  5]  12.00-13.00  sec  77.5 MBytes   650 Mbits/sec    0   15.6 MBytes       
[  5]  13.00-14.00  sec  77.5 MBytes   650 Mbits/sec    0   15.6 MBytes       
[  5]  14.00-15.00  sec  77.5 MBytes   650 Mbits/sec    0   15.7 MBytes       
[  5]  15.00-16.00  sec  77.5 MBytes   650 Mbits/sec    0   15.8 MBytes       
[  5]  16.00-17.00  sec  78.8 MBytes   661 Mbits/sec    0   16.0 MBytes       
[  5]  17.00-18.00  sec  80.0 MBytes   671 Mbits/sec    0   16.2 MBytes       
[  5]  18.00-19.00  sec  81.2 MBytes   682 Mbits/sec    0   16.7 MBytes       
[  5]  19.00-20.00  sec  83.8 MBytes   703 Mbits/sec    0   17.2 MBytes       
[  5]  20.00-21.00  sec  86.2 MBytes   724 Mbits/sec    0   17.9 MBytes       
[  5]  21.00-22.00  sec  91.2 MBytes   765 Mbits/sec    0   18.8 MBytes       
[  5]  22.00-23.00  sec  95.0 MBytes   797 Mbits/sec    0   19.9 MBytes       
[  5]  23.00-24.00  sec   101 MBytes   849 Mbits/sec    0   21.2 MBytes       
[  5]  24.00-25.00  sec   109 MBytes   912 Mbits/sec    0   22.8 MBytes       
[  5]  25.00-26.00  sec   116 MBytes   975 Mbits/sec    0   24.6 MBytes       
[  5]  26.00-27.00  sec   119 MBytes   996 Mbits/sec    0   26.7 MBytes       
[  5]  27.00-28.00  sec   119 MBytes   996 Mbits/sec    0   28.2 MBytes       
[  5]  28.00-29.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  29.00-30.00  sec   119 MBytes   996 Mbits/sec    0   28.6 MBytes       
[  5]  30.00-31.00  sec   118 MBytes   986 Mbits/sec    0   28.6 MBytes       
